act_scene,sentiment_score,lexicon
I.I,-2,Bing
I.II,11,Bing
I.III,9,Bing
I.IV,-19,Bing
I.V,18,Bing
II.I,-4,Bing
II.II,28,Bing
II.III,22,Bing
II.IV,22,Bing
II.V,21,Bing
II.VI,12,Bing
III.I,-37,Bing
III.II,-32,Bing
III.III,-32,Bing
III.IV,12,Bing
III.V,2,Bing
IV.I,-21,Bing
IV.II,8,Bing
IV.III,-18,Bing
IV.IV,-4,Bing
IV.V,-27,Bing
V.I,-29,Bing
V.II,-2,Bing
V.III,-92,Bing
I.I,-2,AFINN
I.II,50,AFINN
I.III,47,AFINN
I.IV,31,AFINN
I.V,54,AFINN
II.I,17,AFINN
II.II,123,AFINN
II.III,87,AFINN
II.IV,73,AFINN
II.V,69,AFINN
II.VI,40,AFINN
III.I,19,AFINN
III.II,-60,AFINN
III.III,-7,AFINN
III.IV,22,AFINN
III.V,46,AFINN
IV.I,0,AFINN
IV.II,20,AFINN
IV.III,-29,AFINN
IV.IV,-1,AFINN
IV.V,-40,AFINN
V.I,-37,AFINN
V.II,-11,AFINN
V.III,-132,AFINN
I.I,21,NRC
I.II,26,NRC
I.III,43,NRC
I.IV,-9,NRC
I.V,32,NRC
II.I,5,NRC
II.II,77,NRC
II.III,43,NRC
II.IV,63,NRC
II.V,43,NRC
II.VI,15,NRC
III.I,5,NRC
III.II,-7,NRC
III.III,-11,NRC
III.IV,10,NRC
III.V,53,NRC
IV.I,9,NRC
IV.II,14,NRC
IV.III,-10,NRC
IV.IV,8,NRC
IV.V,13,NRC
V.I,-8,NRC
V.II,2,NRC
V.III,-24,NRC
