category,term,definition,reference,reference_text
Data Structures,Document-Term Matrix,"A matrix where rows represent documents (plays), columns represent terms (words), and values represent frequency or TF-IDF scores.",https://www.tidytextmining.com/dtm.html,Document-Term Matrices
Frequency Analysis,Inverse Document Frequency (IDF),Decreases the weight for commonly used words and increases the weight for words that are not used very much. Calculated as log(total documents / documents containing term).,https://www.tidytextmining.com/tfidf.html#zipfs-law,Zipf's Law
Frequency Analysis,TF-IDF,"Term Frequency-Inverse Document Frequency. A numerical statistic that reflects how important a word is to a document in a collection. High TF-IDF means the word is frequent in this document but rare in others, making it distinctive.",https://www.tidytextmining.com/tfidf.html,TF-IDF
Frequency Analysis,Term Frequency (TF),How frequently a word appears in a document. Calculated as the number of times a term appears divided by total terms in the document.,https://www.tidytextmining.com/tfidf.html#term-frequency-in-jane-austens-novels,Term Frequency
Frequency Analysis,Zipf's Law,"The observation that word frequency is inversely proportional to its rank. The most frequent word appears approximately twice as often as the second most frequent word, three times as often as the third, etc.",https://www.tidytextmining.com/tfidf.html#zipfs-law,Zipf's Law Explained
N-grams and Relationships,Bigram,"A sequence of two adjacent words. Used to examine word pairs and common phrases (e.g., 'good night', 'fair lady').",https://www.tidytextmining.com/ngrams.html#tokenizing-by-n-gram,N-gram Tokenisation
N-grams and Relationships,Correlation,A measure of how often words appear together relative to how often they appear separately. Used to find word pairs that commonly co-occur.,https://www.tidytextmining.com/ngrams.html#counting-and-correlating-pairs-of-words-with-the-widyr-package,Pairwise Correlation
N-grams and Relationships,N-gram,"A contiguous sequence of n items (words) from text. Bigrams are 2-grams, trigrams are 3-grams, etc.",https://www.tidytextmining.com/ngrams.html,N-grams & Word Combinations
N-grams and Relationships,Pairwise Correlation,Examining relationships between pairs of words to find which words tend to appear together in the same section or scene.,https://www.tidytextmining.com/ngrams.html#pairwise-correlation,Correlation Analysis
Network Analysis,Betweenness Centrality,Measures how often a node lies on the shortest path between other nodes. High betweenness indicates importance in connecting different parts of the network.,https://www.tidytextmining.com/ngrams.html,Network Centrality
Network Analysis,Degree Centrality,The number of direct connections a node has. High degree indicates a character/word that connects to many others.,https://www.tidytextmining.com/ngrams.html,Centrality Measures
Network Analysis,Edge,"A connection between two nodes in a network graph, representing a relationship (e.g., characters appearing together or word co-occurrence).",https://www.tidytextmining.com/ngrams.html#visualizing-a-network-of-bigrams-with-ggraph,Network Edges
Network Analysis,Network Graph,A visualisation showing relationships between entities (characters or words) as nodes connected by edges.,https://www.tidytextmining.com/ngrams.html#visualizing-a-network-of-bigrams-with-ggraph,Network Visualisation
Network Analysis,Node,"A point in a network graph representing an entity (e.g., a character or word).",https://www.tidytextmining.com/ngrams.html#visualizing-a-network-of-bigrams-with-ggraph,Bigram Networks
Project-Specific,Act-Scene Structure,Shakespeare's organisational system dividing plays into major sections (Acts) and smaller segments (Scenes). Used as document boundaries for some analyses.,https://www.tidytextmining.com/,Text Mining with R
Project-Specific,Character Network,A network where nodes represent characters and edges represent co-occurrence (appearing in the same scene). Edge weight indicates how many scenes they share.,https://www.tidytextmining.com/ngrams.html#visualizing-a-network-of-bigrams-with-ggraph,Character Networks
Project-Specific,Dialogue vs Directions,Two main text classes in plays: dialogue (spoken by characters) and stage directions (describing action). Analysed separately or together depending on research question.,https://www.tidytextmining.com/,Tidy Text Mining
Project-Specific,Word Correlation Network,"A network showing which words tend to appear together in sections of text, with correlation strength determining edge weight.",https://www.tidytextmining.com/ngrams.html#pairwise-correlation,Word Correlations
Sentiment Analysis,AFINN Lexicon,A sentiment lexicon that assigns words a score from -5 (most negative) to +5 (most positive). Created by Finn Årup Nielsen.,https://www.tidytextmining.com/sentiment.html#the-sentiments-datasets,AFINN Sentiment Lexicon
Sentiment Analysis,Bing Lexicon,A sentiment lexicon that categorises words into binary positive/negative sentiment. Created by Bing Liu and collaborators.,https://www.tidytextmining.com/sentiment.html#the-sentiments-datasets,Bing Sentiment Lexicon
Sentiment Analysis,NRC Lexicon,"National Research Council Canada lexicon that categorises words into emotions (joy, fear, anger, etc.) and positive/negative sentiment.",https://www.tidytextmining.com/sentiment.html#the-sentiments-datasets,NRC Emotion Lexicon
Sentiment Analysis,Sentiment Analysis,"Computational identification and categorisation of opinions in text to determine emotional tone (positive, negative, neutral).",https://www.tidytextmining.com/sentiment.html,Sentiment Analysis
Sentiment Analysis,Sentiment Lexicon,"A dictionary of words labelled with sentiment scores or categories. This project uses three: Bing (positive/negative), AFINN (numeric scores), and NRC (emotions).",https://www.tidytextmining.com/sentiment.html#the-sentiments-datasets,Sentiment Lexicons
Tidy Principles,Stop Words,"Common words (e.g., 'the', 'a', 'and') that are often removed from analysis. This project uses extended stop words including Shakespearean terms like 'thou', 'thee', 'thy'.",https://www.tidytextmining.com/tidytext.html#word-frequencies,Word Frequencies
Tidy Principles,Tidy Data,"Each variable forms a column, each observation forms a row, each type of observational unit forms a table. Applied to text: one-token-per-row format.",https://www.tidytextmining.com/tidytext.html#contrasting-tidy-text-with-other-data-structures,Tidy vs Non-Tidy Text
Tidy Principles,Tidy Text,"A table with one-token-per-row, where each row represents a single word along with its metadata (play, act, scene, character). Follows tidy data principles.",https://www.tidytextmining.com/tidytext.html,Tidy Text Format
Tidy Principles,Token,"A meaningful unit of text (typically a word) extracted during tokenisation. In this project, tokens include individual words from Shakespeare's dialogue, stage directions, and references.",https://www.tidytextmining.com/tidytext.html#the-unnest_tokens-function,Tokenisation
Tidy Principles,Tokenisation,The process of breaking text into individual words or meaningful units. Uses unnest_tokens() to convert text data into one-token-per-row format.,https://www.tidytextmining.com/tidytext.html#the-unnest_tokens-function,Unnest Tokens Function
