act_scene,sentiment_score,lexicon
I.I,-4,Bing
I.II,-77,Bing
I.III,-57,Bing
I.IV,-62,Bing
II.I,-11,Bing
II.II,-45,Bing
II.III,4,Bing
II.IV,4,Bing
III.I,29,Bing
III.II,11,Bing
III.III,-14,Bing
III.IV,12,Bing
III.V,-1,Bing
III.VI,3,Bing
III.VII,56,Bing
IV.I,-7,Bing
IV.II,-2,Bing
IV.III,-4,Bing
IV.IV,-48,Bing
IV.V,2,Bing
V.I,-14,Bing
V.II,0,Bing
V.III,-27,Bing
V.IV,-3,Bing
V.V,4,Bing
I.I,7,AFINN
I.II,-108,AFINN
I.III,-66,AFINN
I.IV,-95,AFINN
II.I,54,AFINN
II.II,-34,AFINN
II.III,7,AFINN
II.IV,20,AFINN
III.I,88,AFINN
III.II,56,AFINN
III.III,-5,AFINN
III.IV,33,AFINN
III.V,12,AFINN
III.VI,3,AFINN
III.VII,149,AFINN
IV.I,-9,AFINN
IV.II,1,AFINN
IV.III,-7,AFINN
IV.IV,-33,AFINN
IV.V,9,AFINN
V.I,-20,AFINN
V.II,5,AFINN
V.III,-69,AFINN
V.IV,4,AFINN
V.V,24,AFINN
I.I,32,NRC
I.II,-41,NRC
I.III,13,NRC
I.IV,2,NRC
II.I,59,NRC
II.II,16,NRC
II.III,28,NRC
II.IV,32,NRC
III.I,87,NRC
III.II,34,NRC
III.III,-2,NRC
III.IV,25,NRC
III.V,-3,NRC
III.VI,1,NRC
III.VII,125,NRC
IV.I,18,NRC
IV.II,32,NRC
IV.III,8,NRC
IV.IV,94,NRC
IV.V,12,NRC
V.I,-4,NRC
V.II,4,NRC
V.III,22,NRC
V.IV,1,NRC
V.V,15,NRC
