act_scene,sentiment_score,lexicon
I.I,8,Bing
I.II,-8,Bing
I.III,3,Bing
I.IV,7,Bing
II.I,18,Bing
II.II,12,Bing
II.III,26,Bing
II.IV,21,Bing
II.V,16,Bing
III.I,1,Bing
III.II,6,Bing
III.III,3,Bing
III.IV,5,Bing
III.V,-12,Bing
IV.I,-11,Bing
IV.II,3,Bing
IV.III,-3,Bing
IV.IV,-5,Bing
IV.V,2,Bing
IV.VI,12,Bing
V.I,32,Bing
V.II,1,Bing
V.III,14,Bing
V.VI,3,Bing
I.I,71,AFINN
I.II,7,AFINN
I.III,6,AFINN
I.IV,27,AFINN
II.I,71,AFINN
II.II,31,AFINN
II.III,87,AFINN
II.IV,59,AFINN
II.V,69,AFINN
III.I,28,AFINN
III.II,21,AFINN
III.III,12,AFINN
III.IV,16,AFINN
III.V,-10,AFINN
IV.I,1,AFINN
IV.II,1,AFINN
IV.III,-7,AFINN
IV.IV,-13,AFINN
IV.V,1,AFINN
IV.VI,42,AFINN
V.I,68,AFINN
V.II,4,AFINN
V.III,41,AFINN
V.VI,19,AFINN
I.I,14,NRC
I.II,8,NRC
I.III,9,NRC
I.IV,3,NRC
II.I,49,NRC
II.II,30,NRC
II.III,61,NRC
II.IV,34,NRC
II.V,36,NRC
III.I,24,NRC
III.II,30,NRC
III.III,13,NRC
III.IV,5,NRC
III.V,4,NRC
IV.I,0,NRC
IV.II,32,NRC
IV.III,17,NRC
IV.IV,13,NRC
IV.V,2,NRC
IV.VI,28,NRC
V.I,91,NRC
V.II,4,NRC
V.III,43,NRC
V.VI,12,NRC
