act_scene,sentiment_score,lexicon
I.I,25,Bing
I.II,52,Bing
I.III,-5,Bing
II.I,-20,Bing
II.II,0,Bing
II.III,12,Bing
II.IV,19,Bing
II.V,-1,Bing
II.VI,-5,Bing
II.VII,-10,Bing
III.I,3,Bing
III.II,38,Bing
III.III,23,Bing
III.IV,14,Bing
III.V,1,Bing
IV.I,14,Bing
IV.II,-2,Bing
IV.III,22,Bing
V.I,19,Bing
V.II,30,Bing
V.III,3,Bing
V.IV,32,Bing
V.NA,14,Bing
I.I,61,AFINN
I.II,119,AFINN
I.III,11,AFINN
II.I,-41,AFINN
II.II,2,AFINN
II.III,10,AFINN
II.IV,56,AFINN
II.V,9,AFINN
II.VI,-4,AFINN
II.VII,18,AFINN
III.I,3,AFINN
III.II,112,AFINN
III.III,43,AFINN
III.IV,38,AFINN
III.V,35,AFINN
IV.I,81,AFINN
IV.II,-10,AFINN
IV.III,41,AFINN
V.I,36,AFINN
V.II,86,AFINN
V.III,29,AFINN
V.IV,85,AFINN
V.NA,55,AFINN
I.I,63,NRC
I.II,107,NRC
I.III,11,NRC
II.I,-12,NRC
II.II,6,NRC
II.III,21,NRC
II.IV,38,NRC
II.V,8,NRC
II.VI,2,NRC
II.VII,22,NRC
III.I,1,NRC
III.II,113,NRC
III.III,53,NRC
III.IV,27,NRC
III.V,24,NRC
IV.I,49,NRC
IV.II,2,NRC
IV.III,39,NRC
V.I,51,NRC
V.II,58,NRC
V.III,24,NRC
V.IV,91,NRC
V.NA,18,NRC
