act_scene,sentiment_score,lexicon
I.I,58,Bing
I.II,9,Bing
I.III,9,Bing
II.I,59,Bing
II.II,-3,Bing
II.III,62,Bing
III.I,13,Bing
III.II,4,Bing
III.III,14,Bing
III.IV,22,Bing
III.V,16,Bing
IV.I,6,Bing
IV.II,13,Bing
V.I,-21,Bing
V.II,-1,Bing
V.III,-4,Bing
V.IV,35,Bing
I.I,146,AFINN
I.II,23,AFINN
I.III,26,AFINN
II.I,167,AFINN
II.II,8,AFINN
II.III,129,AFINN
III.I,22,AFINN
III.II,25,AFINN
III.III,39,AFINN
III.IV,49,AFINN
III.V,46,AFINN
IV.I,36,AFINN
IV.II,-19,AFINN
V.I,0,AFINN
V.II,25,AFINN
V.III,-2,AFINN
V.IV,56,AFINN
I.I,93,NRC
I.II,24,NRC
I.III,32,NRC
II.I,143,NRC
II.II,13,NRC
II.III,99,NRC
III.I,38,NRC
III.II,17,NRC
III.III,37,NRC
III.IV,29,NRC
III.V,39,NRC
IV.I,101,NRC
IV.II,34,NRC
V.I,61,NRC
V.II,16,NRC
V.III,-3,NRC
V.IV,60,NRC
